1	34.246575	24.97
2	48.848569	13.32
3	65.789474	12.58
4	69.284065	11.49
5	68.317677	9.85
6	80.285459	9.58
7	107.108082	9.10
8	100.806452	8.65
9	106.194690	9.32
10	125.968992	8.90
11	135.790495	8.83
12	128.458498	8.61
13	113.168724	8.37
14	91.093117	7.86
15	132.075472	8.41
16	109.452736	8.09
17	115.062762	8.13
18	118.577075	8.12
19	112.936345	8.12
20	106.692532	8.02
21	109.343936	8.13
22	119.760479	8.29
23	113.285273	8.02
24	120.259019	8.38
25	119.375574	8.33
26	111.940299	8.00
27	112.359551	8.09
28	96.525097	7.78
29	107.317073	7.92
