1	19.697965	14.25
2	30.832477	9.33
3	49.875312	7.08
4	68.775791	7.01
5	100.882724	7.37
6	82.159624	7.30
7	105.140187	7.71
8	116.144019	7.64
9	117.647059	7.46
10	148.232611	7.82
11	162.337662	7.97
12	218.642117	7.90
13	184.581976	7.94
14	203.160271	8.03
15	199.370409	8.01
16	235.042735	8.11
17	218.579235	8.01
18	211.111111	8.07
19	204.081633	8.01
20	184.994861	8.06
21	155.601660	7.99
22	147.368421	7.95
23	117.647059	7.86
24	119.176598	7.89
25	88.790233	7.74
26	89.786756	7.78
27	81.883316	7.73
28	82.815735	7.71
29	93.457944	7.76
