64	3.86
128	2.10
256	1.47
512	0.82
1024	0.69
2048	0.51
4096	0.49
8192	0.47
16384	0.38
32768	0.39
65536	0.42
131072	0.45
262144	0.50
524288	0.60
1048576	1.08
2097152	1.99
4194304	3.60
8388608	3.82
